"","time","rf","Press","temperture","Hum"
"1",2019-03-24 01:00:00,NA,NA,NA,NA
"2",2019-03-24 02:00:00,NA,NA,NA,NA
"3",2019-03-24 03:00:00,NA,NA,NA,NA
"4",2019-03-24 04:00:00,NA,NA,NA,NA
"5",2019-03-24 05:00:00,NA,NA,NA,NA
"6",2019-03-24 06:00:00,NA,NA,NA,NA
"7",2019-03-24 07:00:00,NA,NA,NA,NA
"8",2019-03-24 08:00:00,NA,NA,NA,NA
"9",2019-03-24 09:00:00,NA,NA,NA,NA
"10",2019-03-24 10:00:00,NA,NA,NA,NA
"11",2019-03-24 11:00:00,NA,NA,NA,NA
"12",2019-03-24 12:00:00,NA,NA,NA,NA
"13",2019-03-24 13:00:00,NA,NA,NA,NA
"14",2019-03-24 14:00:00,NA,NA,NA,NA
"15",2019-03-24 15:00:00,NA,NA,NA,NA
"16",2019-03-24 16:00:00,NA,NA,NA,NA
"17",2019-03-24 17:00:00,NA,NA,NA,NA
"18",2019-03-24 18:00:00,NA,NA,NA,NA
"19",2019-03-24 19:00:00,NA,NA,NA,NA
"20",2019-03-24 20:00:00,NA,NA,NA,NA
"21",2019-03-24 21:00:00,NA,NA,NA,NA
"22",2019-03-24 22:00:00,NA,NA,NA,NA
"23",2019-03-24 23:00:00,NA,NA,NA,NA
"24",2019-03-25 00:00:00,NA,NA,NA,NA
